np,model,topo,radix,spread_mode,spread_avg,off-fail,on-fail,runs,min_steps,max_steps,steps_avg,min_in_spread,max_in_spread,in_spread_avg,min_out_spread,max_out_spread,out_spread_avg,min_msgs,max_msgs,msgs_avg,min_data,max_data,data_avg,min_queue,max_queue,queue_avg,min_dead,max_dead,dead_avg
128,0,3,7,0,0,0.00,0.00,1,75,75,75.00,0,0,0.00,21,21,21.00,404,404,404.00,18068,18068,18068.00,5,5,5.00,0,0,0.00
128,0,3,8,0,0,0.00,0.00,1,78,78,78.00,0,0,0.00,22,22,22.00,399,399,399.00,17968,17968,17968.00,7,7,7.00,0,0,0.00
128,0,3,9,0,0,0.00,0.00,1,75,75,75.00,0,0,0.00,19,19,19.00,432,432,432.00,18509,18509,18509.00,8,8,8.00,0,0,0.00
128,0,3,10,0,0,0.00,0.00,1,70,70,70.00,0,0,0.00,15,15,15.00,412,412,412.00,18116,18116,18116.00,9,9,9.00,0,0,0.00
128,0,3,11,0,0,0.00,0.00,1,65,65,65.00,0,0,0.00,12,12,12.00,368,368,368.00,17807,17807,17807.00,11,11,11.00,0,0,0.00
128,0,3,12,0,0,0.00,0.00,1,64,64,64.00,0,0,0.00,12,12,12.00,379,379,379.00,17880,17880,17880.00,10,10,10.00,0,0,0.00
128,0,3,13,0,0,0.00,0.00,1,64,64,64.00,0,0,0.00,13,13,13.00,398,398,398.00,17907,17907,17907.00,9,9,9.00,0,0,0.00
128,0,3,14,0,0,0.00,0.00,1,66,66,66.00,0,0,0.00,13,13,13.00,422,422,422.00,17906,17906,17906.00,9,9,9.00,0,0,0.00
128,0,3,15,0,0,0.00,0.00,1,66,66,66.00,0,0,0.00,13,13,13.00,448,448,448.00,17905,17905,17905.00,8,8,8.00,0,0,0.00
128,0,3,16,0,0,0.00,0.00,1,66,66,66.00,0,0,0.00,11,11,11.00,476,476,476.00,17904,17904,17904.00,7,7,7.00,0,0,0.00
128,0,3,17,0,0,0.00,0.00,1,68,68,68.00,0,0,0.00,13,13,13.00,506,506,506.00,17903,17903,17903.00,7,7,7.00,0,0,0.00
128,0,3,18,0,0,0.00,0.00,1,70,70,70.00,0,0,0.00,13,13,13.00,538,538,538.00,17902,17902,17902.00,8,8,8.00,0,0,0.00
128,0,3,19,0,0,0.00,0.00,1,70,70,70.00,0,0,0.00,13,13,13.00,572,572,572.00,17901,17901,17901.00,9,9,9.00,0,0,0.00
128,0,3,20,0,0,0.00,0.00,1,72,72,72.00,0,0,0.00,13,13,13.00,608,608,608.00,17900,17900,17900.00,10,10,10.00,0,0,0.00
256,0,3,2,0,0,0.00,0.00,1,180,180,180.00,0,0,0.00,77,77,77.00,766,766,766.00,68480,68480,68480.00,2,2,2.00,0,0,0.00
256,0,3,3,0,0,0.00,0.00,1,117,117,117.00,0,0,0.00,43,43,43.00,768,768,768.00,68820,68820,68820.00,3,3,3.00,0,0,0.00
256,0,3,4,0,0,0.00,0.00,1,98,98,98.00,0,0,0.00,33,33,33.00,771,771,771.00,68928,68928,68928.00,3,3,3.00,0,0,0.00
256,0,3,5,0,0,0.00,0.00,1,99,99,99.00,0,0,0.00,32,32,32.00,777,777,777.00,69158,69158,69158.00,4,4,4.00,0,0,0.00
256,0,3,6,0,0,0.00,0.00,1,82,82,82.00,0,0,0.00,22,22,22.00,785,785,785.00,69778,69778,69778.00,6,6,6.00,0,0,0.00
256,0,3,7,0,0,0.00,0.00,1,81,81,81.00,0,0,0.00,21,21,21.00,788,788,788.00,69607,69607,69607.00,6,6,6.00,0,0,0.00
256,0,3,8,0,0,0.00,0.00,1,82,82,82.00,0,0,0.00,22,22,22.00,783,783,783.00,69280,69280,69280.00,7,7,7.00,0,0,0.00
256,0,3,9,0,0,0.00,0.00,1,83,83,83.00,0,0,0.00,21,21,21.00,776,776,776.00,69055,69055,69055.00,8,8,8.00,0,0,0.00
256,0,3,10,0,0,0.00,0.00,1,84,84,84.00,0,0,0.00,21,21,21.00,767,767,767.00,68902,68902,68902.00,8,8,8.00,0,0,0.00
256,0,3,11,0,0,0.00,0.00,1,87,87,87.00,0,0,0.00,21,21,21.00,756,756,756.00,68752,68752,68752.00,10,10,10.00,0,0,0.00
256,0,3,12,0,0,0.00,0.00,1,86,86,86.00,0,0,0.00,20,20,20.00,783,783,783.00,69604,69604,69604.00,9,9,9.00,0,0,0.00
256,0,3,13,0,0,0.00,0.00,1,82,82,82.00,0,0,0.00,17,17,17.00,789,789,789.00,69321,69321,69321.00,8,8,8.00,0,0,0.00
256,0,3,14,0,0,0.00,0.00,1,80,80,80.00,0,0,0.00,15,15,15.00,743,743,743.00,69196,69196,69196.00,11,11,11.00,0,0,0.00
256,0,3,15,0,0,0.00,0.00,1,80,80,80.00,0,0,0.00,13,13,13.00,720,720,720.00,68641,68641,68641.00,14,14,14.00,0,0,0.00
256,0,3,16,0,0,0.00,0.00,1,82,82,82.00,0,0,0.00,14,14,14.00,732,732,732.00,68592,68592,68592.00,15,15,15.00,0,0,0.00
256,0,3,17,0,0,0.00,0.00,1,84,84,84.00,0,0,0.00,15,15,15.00,762,762,762.00,68591,68591,68591.00,15,15,15.00,0,0,0.00
256,0,3,18,0,0,0.00,0.00,1,84,84,84.00,0,0,0.00,14,14,14.00,794,794,794.00,68590,68590,68590.00,14,14,14.00,0,0,0.00
256,0,3,19,0,0,0.00,0.00,1,84,84,84.00,0,0,0.00,13,13,13.00,828,828,828.00,68589,68589,68589.00,13,13,13.00,0,0,0.00
256,0,3,20,0,0,0.00,0.00,1,84,84,84.00,0,0,0.00,13,13,13.00,864,864,864.00,68588,68588,68588.00,12,12,12.00,0,0,0.00
512,0,3,2,0,0,0.00,0.00,1,204,204,204.00,0,0,0.00,88,88,88.00,1534,1534,1534.00,268800,268800,268800.00,2,2,2.00,0,0,0.00
512,0,3,3,0,0,0.00,0.00,1,141,141,141.00,0,0,0.00,54,54,54.00,1537,1537,1537.00,269965,269965,269965.00,2,2,2.00,0,0,0.00
512,0,3,4,0,0,0.00,0.00,1,122,122,122.00,0,0,0.00,44,44,44.00,1539,1539,1539.00,269696,269696,269696.00,3,3,3.00,0,0,0.00
512,0,3,5,0,0,0.00,0.00,1,103,103,103.00,0,0,0.00,32,32,32.00,1545,1545,1545.00,270566,270566,270566.00,4,4,4.00,0,0,0.00
512,0,3,6,0,0,0.00,0.00,1,104,104,104.00,0,0,0.00,32,32,32.00,1553,1553,1553.00,271186,271186,271186.00,5,5,5.00,0,0,0.00
512,0,3,7,0,0,0.00,0.00,1,101,101,101.00,0,0,0.00,29,29,29.00,1556,1556,1556.00,271038,271038,271038.00,5,5,5.00,0,0,0.00
512,0,3,8,0,0,0.00,0.00,1,90,90,90.00,0,0,0.00,22,22,22.00,1551,1551,1551.00,271744,271744,271744.00,7,7,7.00,0,0,0.00
512,0,3,9,0,0,0.00,0.00,1,89,89,89.00,0,0,0.00,21,21,21.00,1544,1544,1544.00,270886,270886,270886.00,7,7,7.00,0,0,0.00
512,0,3,10,0,0,0.00,0.00,1,90,90,90.00,0,0,0.00,21,21,21.00,1535,1535,1535.00,270248,270248,270248.00,9,9,9.00,0,0,0.00
512,0,3,11,0,0,0.00,0.00,1,91,91,91.00,0,0,0.00,21,21,21.00,1524,1524,1524.00,269788,269788,269788.00,9,9,9.00,0,0,0.00
512,0,3,12,0,0,0.00,0.00,1,92,92,92.00,0,0,0.00,21,21,21.00,1511,1511,1511.00,269440,269440,269440.00,10,10,10.00,0,0,0.00
512,0,3,13,0,0,0.00,0.00,1,96,96,96.00,0,0,0.00,22,22,22.00,1509,1509,1509.00,269631,269631,269631.00,12,12,12.00,0,0,0.00
512,0,3,14,0,0,0.00,0.00,1,98,98,98.00,0,0,0.00,22,22,22.00,1507,1507,1507.00,269946,269946,269946.00,12,12,12.00,0,0,0.00
512,0,3,15,0,0,0.00,0.00,1,102,102,102.00,0,0,0.00,23,23,23.00,1505,1505,1505.00,270252,270252,270252.00,13,13,13.00,0,0,0.00
